District code,Male,Female,Literate,Total_Power_Parity,Housholds_with_Electric_Lighting,Households_with_Internet,Rural_Households,Urban_Households,State,District,Latitude,Longitude
327,937259,909564,1315585,3146,297176,10943,303284,215675,West Bengal,Darjiling,26.839619571045585,88.33145067024122
328,1983064,1889782,2498780,5160,382500,9322,798378,319426,West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003
330,1551066,1456068,1489667,3214,199307,2883,683981,94269,West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337
331,857199,819077,1083685,2039,168069,2518,390949,70077,West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614
332,2051541,1937304,2086432,4191,297716,5357,830318,128678,West Bengal,Maldah,25.08026802575105,88.17191684549356
333,3627564,3476243,4055834,8088,541169,7951,1501066,350899,West Bengal,Murshidabad,24.25950655391121,88.16816860465121
334,1790920,1711484,2158447,3911,333752,5210,831044,134565,West Bengal,Birbhum,24.06389342723,87.65153089201888
335,3966889,3750674,5247208,13547,1049943,32323,1364868,862368,West Bengal,Barddhaman,23.444453888888884,87.8150581111111
336,2653768,2513832,3480555,7048,623729,12787,1081381,468390,West Bengal,Nadia,23.56410971055088,88.58293034547152
338,2814653,2704492,4078388,9450,965258,31725,992085,647953,West Bengal,Hugli,22.87929264705881,88.00010264705891
339,1838095,1758579,2232992,3959,334670,4273,900515,90885,West Bengal,Bankura,23.081280892857155,87.12640053571437
340,1496996,1433119,1624905,3309,189889,3551,653219,99433,West Bengal,Puruliya,23.254192328767108,86.3968532876713
341,2500819,2349210,3605206,9414,796953,30751,483384,869313,West Bengal,Haora,22.401674174428507,87.99421176968654
342,2356766,2139928,3588137,16375,927602,136618,0,1308106,West Bengal,Kolkata,22.550581481481483,88.3527648148148
346,683575,639209,653476,1017,29373,565,272872,19180,Jharkhand,Garhwa,24.082114689265527,83.68664265536722
347,533935,508951,510061,817,27037,590,200974,14528,Jharkhand,Chatra,24.11619945750453,84.93295804701627
349,1258098,1187376,1253475,2384,125431,1944,452564,46886,Jharkhand,Giridih,24.30578509874329,86.08710915619386
350,775022,717051,793538,1267,130193,1944,257373,64337,Jharkhand,Deoghar,24.33070100755672,86.75697632241814
351,677927,635624,604519,1057,43230,874,276454,15576,Jharkhand,Godda,24.8189,87.2941735483871
352,589391,561176,483263,954,34879,591,223450,37543,Jharkhand,Sahibganj,24.93667989690721,87.68264097938142
353,452661,447761,352881,691,31414,328,200588,16587,Jharkhand,Pakur,24.57260428082189,87.69691969178076
354,1405956,1278531,1722204,3954,427173,11568,258764,405455,Jharkhand,Dhanbad,23.854509090909097,86.40372924901185
355,1072807,989523,1273520,3604,274726,9754,250312,258452,Jharkhand,Bokaro,23.6814965034965,85.98398374125864
356,232629,229161,259707,388,28769,351,96759,14725,Jharkhand,Lohardaga,23.488796043165483,84.6605169064748
358,1006302,933567,1024563,1515,68238,2155,355529,52375,Jharkhand,Palamu,24.196925968109337,84.20310842824594
